Name,Description,Date,IntensityId,Length,CoachId,GenreIdList,SongIdList,SpotifyLink,WorkoutId,MaxTargets,LocationIdList,WorkoutType,MaxScore,MaxDodges,MaxKneeStrikes,MaxTriangles
Wild,"This workout is all about getting big and going all out. Spread those wings in some massive, open spaces and get WILD! Raneir is here to get you moving bigger, swinging more powerfully, and squatting deeper than you ever have before. [Auto Intensity]",5/10/2020,0,17:08,27,,"132, 101, 138, 65, 158",https://open.spotify.com/playlist/0UgBZbWwzGgnaSAxxAQm7Y?si=u36rocIhRVy4_MUrp-VHQA,216,2642,"34, 40, 8, 36, 37",classic,627,,,328
Out There ,"Raneir is here to rock that body with some awesome, high intensity tracks to get you moving, grooving, and feeling like your best self! Get out there, baby!!",5/7/2020,3,15:13,27,19,"133, 109, 206, 64",https://open.spotify.com/playlist/7eXp5DDB0iCWpjIWLbBNEZ?si=KNM56-jdTXST6nWr0y5ydQ,217,2106,"32, 27, 6, 16",classic,486,,,215
Balance,Strike a balance between cardio movement and strength building. Leanne takes you on a quick 13-minute workout adventure designed to get you working your body and mind! [Auto Intensity],4/28/2020,0,12:23,25,,"152, 236, 159, 237",https://open.spotify.com/playlist/2q3UnYg0OtTds8Yus3sPte?si=nzSaZXwoRPKIy18Rua--hg,230,1903,"28, 27, 6, 16",classic,452,,,239
Rumble ,"Are you ready to move? Leanne has prepared an excellent playlist of hard-hitting, high-intensity tracks designed to get you SWEATING! Let's rumble!",5/1/2020,3,16:32,25,19,"152, 205, 170, 162, 62",https://open.spotify.com/playlist/0P3YeNT93VMYLwrRUyvlyb?si=dxMgTXLqQLSbPR28xvcEpQ,233,2926,"11, 6, 8, 34, 29",classic,682,,,321
"Pros Only ""Debut""","Mastered the rest? This workout challenges even the best. Leanne is calling you out, do you accept? This workout is locked at Hard and does not adjust based on performance.",4/22/2020,3,26:04:00,25,,"152, 237, 234, 207, 209, 211, 257",https://open.spotify.com/playlist/6Rxubh5cRHwwJbbXnNeqF9?si=27ZcMCtfTyasWYEJoMOptQ,244,4759,"27, 5, 88, 11, 63, 13, 38",classic,1178,,,755
"Retrofit ""Debut""","A throwback workout perfect for beginners or more advanced athletes looking for a less intense workout on a rest day. Leanne has prepared an awesome, retro playlist full of 60, 70s, and 80s classics which are sure to get you sweating!",5/6/2020,1,16:21,25,"20, 23","283, 266, 260, 191, 265",https://open.spotify.com/playlist/6COiaCWz1QcoW4TmiPYtg9?si=7eq-oZCZRZ-9DWZNKgCdKQ,246,1122,"32, 38, 35, 11",classic,296,,,239
Fortify ,Get fortified! Coach Doc takes you on a heroic journey to some wild locations with a few of our favorite Hip Hop tracks. Let's move!!,5/2/2020,0,19:25,28,,"152, 215, 207, 234, 153, 232",https://open.spotify.com/playlist/1IuDbtbELSINqjJ7hB7g0Y?si=76jHb07-Rxy0350THsNGOg,249,3881,"3, 64, 11, 25, 41, 40",classic,944,,,558
Beginners Only ,Perfect for people new to Supernatural. Leanne eases you into this workout as you move to hits from top artists.,4/21/2020,1,14:40,25,19,"437, 191, 236, 160, 185",https://open.spotify.com/playlist/7LZ5xMVMgnn61aP5mPH4K7?si=n3k6Deo-Rzuf8N3x5Dbfjg,253,822,"27, 37, 38, 33, 35",classic,218,,,178
"Pop Till You Drop ""Debut""","A fun, modern playlist with a healthy blend of upbeat, powerful vocals and awesome rhythms. Start out with some easy shoulder rolls and squats to get into the body, then prepare for a challenging all-Pop playlist perfect for athletes used to medium intensity who are looking to push their limits! [Medium Intensity]",5/11/2020,2,17:43,25,19,"235, 271, 268, 269, 273",https://open.spotify.com/playlist/6VjRDls2ebO8k37TnpJkmt?si=ZFHkfJ9zSgies--j92U3iw,265,2150,"9, 24, 28, 43, 17",classic,524,,,313
"Superfreak ""Debut""","Get ready for a funky throwback, superfreak! Raneir leads a lower intensity workout of funk classics perfect for athletes looking for a little more room to focus. Start out easy with Hot Chocolate, turn it up with Chic, then get POWERFUL with Chaka Khan!",5/13/2020,1,22:26,27,23,"327, 325, 298, 301, 296, 297",https://open.spotify.com/playlist/1BacagdBQ8Sc4swqU4wfLO?si=hwUUFEt1R6iHvekOSnUARQ,266,1496,"32, 14, 27, 36, 38",classic,405,,,353
Full Body Werk ,Form and function are integral to healthy body movement. Raneir is here with a medium intensity workout perfectly suited for athletes looking to pay close attention to their bodies while moving powerfully from the core!,5/14/2020,2,17:36,27,"19, 22","437, 249, 167, 168, 233",https://open.spotify.com/playlist/7A5VpqEvgXdundO00Qi6sl?si=3-s0XLzpTOaYc93iCtt8nQ,269,1979,"9, 28, 35, 20, 3",classic,555,,,532
"Freedom Rock ""Debut""","Leanne is here with the perfect Classic Rock playlist tuned for athletes who crave the open road, but aren't wanting to put the pedal to the metal. Big, sweeping movements, fewer squats and lunges, and excellent tunes to keep you company along the way!",5/15/2020,2,25:05:00,25,20,"332, 312, 322, 310, 309, 313",https://open.spotify.com/playlist/54LnTtmeLaumGyGttXflP7?si=ovQzBmw5R0S-ZktV5cIvhQ,270,3395,"6, 32, 38, 41, 8, 18",classic,802,,,411
Peak Power ,Prepare for a journey! This all-Rock workout is all about meeting a challenge and not giving up. Find the power to climb the mountain ahead of you and conquer anything between you and your goal!,5/16/2020,3,13:20,25,20,"133, 192, 176, 205",https://open.spotify.com/playlist/6Y315ZinxQmzI35BssBEqj?si=70kgEznbRPiJn_NYaIzwDA,271,2342,"74, 34, 29, 105",classic,552,,,280
Follow Through ,Get your week started right with a quick medium intensity workout made to get you following through on every swing! Remember to wind up and strike from the core with POWER!,5/18/2020,2,11:30,25,"19, 21","152, 163, 100, 263",https://open.spotify.com/playlist/0wwHFaKFNGQ09pVu2PYnIh?si=BbG2z5N4TdS5zXI2BiezsQ,272,1332,"30, 31, 40, 38",classic,335,,,229
"Slow Burn ""Debut""","Coach Doc is here for a perfect wind-down workout. This is perfect for athletes looking for low-intensity, approachable movements with lots of room to swing and get into the body. Start slow, work smart and end with simple stretching and breathing.",5/17/2020,1,12:48,28,19,"134, 185, 61, 211",https://open.spotify.com/playlist/1pl1B01E53RNTMOZLPdHe9?si=xECAwJhfROGMvZ_-5OpTjw,275,1143,"5, 32, 16, 27",classic,345,,,388
"The Drop ""Debut""","Looking for an EDM shock to the senses? These ballistic house remixes will challenge your brain just as much as your body. Make sure to save your energy for an explosive glute-buster finale set to ""Gecko (Overdrive)"" from Oliver Heldens and Becky Hill.",5/19/2020,3,16:47,28,22,"363, 292, 287, 257",https://open.spotify.com/playlist/3HCUreGY8FFTomXI9R9uxJ?si=G9ociHYXTW2qGlhxawCKDg,277,3194,"35, 3, 36, 13",classic,819,,,602
"Slow Burn ""Gratitude""","A low intensity workout that's all about improving your physical and mental well-being. Coach Doc is here to help you focus on powerful strikes, full-body movement and good vibes. Stick around after the cooldown for a quick meditation to get re-centered!",5/24/2020,1,24:03:00,28,20,"332, 266, 265, 372, 322",https://open.spotify.com/playlist/1mvs1IeBASzfs46SZA4Wfp?si=_bp4TqIqTS6q19G4oVxO_A,278,1799,"6, 32, 44, 24, 41",classic,437,,,257
"Molten Rock ""Debut""","Prepare yourself for a high energy, high intensity playlist with some of our favorite modern and indie rock classics! This workout is for athletes looking for nonstop, explosive movements and cardio-heavy work. Get big, get crazy, and rock out!",5/20/2020,3,17:13,28,20,"362, 329, 205, 338, 339",https://open.spotify.com/playlist/7MNVUcaTs4WzKsMVeGcLAZ?si=7AobNREYQu2Dkog-lHt1Zw,279,2777,"11, 8, 18, 29, 41",classic,678,,,409
"Pop Till You Drop ""Make Your Mark""","Get your week started with a pitch perfect collection of our newest Pop tracks! Nick Jonas, and Lorde join for a Memorial Day celebration in your living room. Get ready to cut loose, have fun, and smash those targets with strength and accuracy!",5/25/2020,2,18:05,25,19,"373, 352, 261, 262, 354",https://open.spotify.com/playlist/2IHFk0ZrIXHtk6Kopvbapg?si=VKl8qJHMRIOGGRxo0CzToQ,280,2819,"27, 16, 37, 25, 17",classic,676,,,375
"Rapattack ""We Went to War""","Ready for round two? This is your chance to play our favorite high intensity rap tracks at medium intensity! More time to hit powerfully, sink into the choreography, and move with intelligence.",5/22/2020,2,11:30,25,21,"374, 259, 99, 207",https://open.spotify.com/playlist/67q8AbqKWIyPut4a4cykvs?si=f62hp959Qv67s8butIHYRw,281,1343,"17, 41, 20, 26",classic,316,,,159
"Retrofit ""Chair & Leg Warmers""",Retrofit is back again with an all-80s blast from the past! Let yourself get BIG with this low intensity workout made for athletes looking to take up space and lean into their strikes with power!,5/21/2020,1,16:20,27,"19, 20","357, 275, 264, 315",https://open.spotify.com/playlist/2LgalZgUXZ461XiPvsMxGl?si=MCyeN63iQ1CPSTTTH5_ZhQ,282,1708,"31, 38, 5, 11",classic,456,,,382
"Pool House ""Debut""","Raneir is here to throw you your own personal pool party! Enjoy medium intensity House tracks and remixes built to lift you up and get you sweating. Start out with A R I Z O N A and The Knocks, then end big with ""I Miss You"" by Clean Bandit.",5/30/2020,2,23:52,27,22,"400, 365, 364, 380, 376, 375",https://open.spotify.com/playlist/5YOI3HJemimNkkrEgTDf33?si=ISdCMmNWSZC3yV6Kr2u41A,283,3154,"5, 16, 39, 38, 27, 24",classic,786,,,518
"Girl Power ""Like A Girl""",Get ready for some of our favorite female artists with another Girl Power! This medium intensity workout was made to get things burning with a little more focus on cardio movement and faster patterns.,5/23/2020,2,21:54,27,19,"437, 354, 268, 64, 273, 209",https://open.spotify.com/playlist/2rND3Z76imO3GMYfpeV08f?si=WyStHt_gTrSyWXl6cEkZqA,284,2838,"38, 32, 77, 39, 8, 40",classic,705,,,457
Sustain ,Put your endurance to the test and get ready for a 30-minute total body journey!,5/26/2020,3,31:39:00,27,"21, 22","152, 292, 257, 287, 153, 234, 232, 233",https://open.spotify.com/playlist/0R9KgjwaLKh48X9j0kqflx?si=N3YqOnckRyCWCkV3BXtFIw,285,5382,"11, 26, 40, 14, 1, 36, 29, 24",classic,1373,,,989
"Slow Burn ""Love Yourself""","It's time for your Sunday Slow Burn! Coach Doc is here to get that body moving with power and ease, perfect for low intensity work or a recovery day. Stick around after the cooldown for another quick meditation!",5/31/2020,1,13:24,28,19,"132, 269, 150",https://open.spotify.com/playlist/2JoGtNIbCYa8nSoGPPtI3y?si=eji2ZvpPQzGz3UccmS95Og,295,1058,"9, 20, 14",classic,288,,,255
"Monster ""Feels So Good""","Get ready to sweat! This is a 30-minute, high intensity workout designed to put your abilities to the test. Get warmed up and dive right in! This workout is built for agility training, so focus on your breathing, and never stop moving!",6/9/2020,3,28:00:00,28,20,"339, 338, 414, 176, 371, 366, 162",https://open.spotify.com/playlist/3t2zoN7ofbWw9uIUmBN2vi?si=w2paQU0hQbaQFsToT6MptA,296,5199,"44, 37, 29, 8, 11, 13, 40, 18",classic,1225,,,617
"Rapattack ""Heart Pumpin""","Another all-out rap attack, this time with Coach Doc leading the charge. This high intensity full body workout will test your endurance and push you to to the limit. Start out with The Next Episode then continue cranking up the intensity all the way to the end!",5/29/2020,3,15:12,28,21,"152, 336, 62, 278, 69",https://open.spotify.com/playlist/5eVzyZtq6GcM14VLlXVN95?si=Ev6QyhPxTCinatYWVxBbVA,297,2331,"11, 40, 17, 25, 1",classic,532,,,220
"Sweaty Flannel ""Debut""","Dig out that flannel, 'cause we're heading back to the 90s! This medium intensity workout is the perfect way to start your week on a high note. Get warmed up with STP, turn it up to Sugar Ray then start sweating with Third Eye Blind, Barenaked Ladies, and Blur!",6/1/2020,2,17:07,25,20,"362, 285, 290, 291, 289",,299,2001,"6, 27, 36, 18, 28",classic,514,,,378
"Monster ""Don't Stop Me""","Leanne is here with another 30-minute MONSTER of a workout! Get ready for a test of endurance with this awesome mix of medium intensity throwback tracks! Get started with some lower body work, then ease into your mid-week workout with these classic hits!",6/3/2020,2,31:17:00,25,20,"332, 326, 310, 254, 309, 324, 312, 313",https://open.spotify.com/playlist/0vXQviunvhBsCbkrSY5bPL?si=CzPP86TLT3Co8MbSXVnikg,300,4221,"8, 35, 6, 13, 41, 40, 24, 37",classic,1044,,,665
Go Big ,"Coach Raneir shows how to take up space, follow-through with your swings, and go Big. This is a low intensity workout, so take advantage of the time between targets to focus on active core engagement and proper squat form.",6/2/2020,1,13:10,27,19,"133, 273, 139, 236",https://open.spotify.com/playlist/5x5I3A8k2PZcOCNiyFA3GD?si=aLjkjCoHSKCy8RJ3wQOaHg,303,1302,"41, 35, 16, 38",classic,310,,,164
"Pop Till You Punk ""Debut""","Let's get emo! Leanne is here with an incredible Pop Punk playlist with all of our favorite eyeliner-wearing artists! This is a high intensity playlist, so prepare for lots of cardio work and agility training!",6/4/2020,3,20:44,25,20,"421, 414, 377, 416, 371, 366",https://open.spotify.com/playlist/6rMlpVDEo6qbbqhqtAXz3Y?si=y4bUWlkBQv2TMA2ezB7yJg,304,3828,"44, 38, 29, 33, 18, 11",classic,912,,,488
"The Drop ""Out of My Mind""","Get ready for our most extreme drop yet! This is a high intensity Dubstep workout that starts fast and stays fast! Practice high agility patterns that work your arms, chest, and shoulders while putting you through some excellent cardio exercises!",6/16/2020,3,24:30:00,25,22,"363, 153, 391, 234, 390, 343",https://open.spotify.com/playlist/6Xwl48maIadHaOhizIb7GH?si=8I5_g7uWTBm62zMII10F3w,305,3782,"18, 37, 1, 25, 26, 16",classic,1159,,,1341
"Retrofit ""Totally Tubular""","Let's do the timewarp again! Raneir is here with an EXCELLENT 80s playlist with some totally tubular hits! Start off with some high velocity practice swings to get warmed up, then dive into our favorite throwback playlist to date!",6/8/2020,2,18:49,27,"19, 20","357, 420, 316, 323, 381",https://open.spotify.com/playlist/3mAjXmarDBfPMG0Xku5oXf?si=dnKwbcLZSiCC8iWEdDBSlA,306,2256,"32, 35, 33, 41, 38",classic,563,,,372
"Just Dance ""Bring the Action""",Are you ready for a dance party? Get moving to this awesome mix of fast paced Pop tracks designed to get you feeling the burn!,7/21/2020,3,23:57,27,"19, 22","373, 394, 353, 387, 369, 419",https://open.spotify.com/playlist/7lYOtuxD1r6tlZR076RDi4?si=MDG8T9gKQdm8PWFKfjjYGw,307,3466,"17, 24, 40, 43, 31, 41",classic,909,,,720
The Turn Up ,"This is Raneir's personally-curated dance party playlist, built from the ground up to brighten your day and get you turned UP! This medium intensity workout ramps up, hits a peak, then eases you back down to Earth to close out the party!",6/5/2020,2,27:14:00,27,19,"374, 297, 236, 64, 376, 211, 209",https://open.spotify.com/playlist/62yK9S3Pika12FCKtwCJWp?si=HLg6vnojQ9-6jorR2Dq6Aw,308,2496,"45, 14, 35, 5, 32, 41, 31",classic,692,,,644
"Fitness Journey ""Debut""",Join Leanne as she takes you through how to set yourself up for a motivating and inspiring fitness journey. This workout launched our Fitness Journey contest. See the winners and read the stories of their journeys on our Instagram @getsupernatural.,6/15/2020,1,18:11,25,"19, 21","132, 168, 99, 207, 158",https://open.spotify.com/playlist/38V5bYKhLK8bawvASuVRLE?si=VWSe4M9qTiKH3g5pjRQleg,309,1279,"2, 28, 17, 11, 29",classic,346,,,301
"The Drop ""Bullet Proof""","Prepare yourself for another EDM onslaught! This high intensity workout is both a mental AND physical challenge, perfect for athletes looking to test their abilities and go all out!",6/6/2020,3,20:02,28,"19, 22","363, 168, 353, 419, 287",https://open.spotify.com/playlist/2tLSxXAV148Zgk6MX9JEt1?si=qjX6HbwEQCiFIzzTvmv25w,312,2922,"2, 43, 1, 28, 38",classic,734,,,498
"Slow Burn ""The Gift""",Tap in and get moving with another Slow Burn with Coach Doc. Focus on your breathing and the sensations in your body as you shatter those targets with intention and follow-through.,6/7/2020,1,25:27:00,28,22,"400, 167, 249, 380, 375, 364",https://open.spotify.com/playlist/4MTkRTtJLDIQmYZCml69QM?si=QngG90CiQKGv5EMuocZ1bw,313,1689,"32, 14, 24, 13, 45, 17",classic,506,,,562
"Superfreak ""Get Ur Freak On""","Raneir is back with some of your favorite Motown hits! This low intensity workout is meant to challenge you as you move to the beat. Groove your way into “Rescue Me” for a dynamic warmup, then turn up the heat with Marvin Gaye, Four Tops, and The Jackson 5!",6/18/2020,1,14:20,27,23,"1246, 447, 330, 450, 347",https://open.spotify.com/playlist/35Y7puUUG9zQXi423itWjC?si=xXtZkMvRS3yQYmg3xykeng,315,1321,"48, 28, 24, 46, 38",classic,349,,,283
Move It ,"Let's get moving! Raneir is here with a fun, chilled-out mix of Pop tracks to get you out of your head and into that body!",6/10/2020,1,11:30,27,19,"132, 268, 352",https://open.spotify.com/playlist/3r9jhoGCtvwg3PyG8X4GDr?si=QwJScLnOR4eLYEFm4KtkZw,316,667,"5, 24, 39",classic,204,,,237
Pride ,"Join Raneir for a celebration of Pride and being true to yourself. This high paced, medium intensity workout is all about joyful and energetic movement.",6/19/2020,2,20:50,27,19,"325, 473, 472, 474, 354",https://open.spotify.com/playlist/4tu6aRAD02hyaCnCOeegFR?si=RS6VRzG2Tryf-14V92iZrA,317,3102,"35, 27, 2, 40, 69",classic,835,,,714
"Skinny Jeans and Ripped Seams ""Debut""","Get ready for an Indie Rock workout! Start out by working on your posture with back and chest openers, then dive in for a medium intensity playlist with Young the Giant, alt-J, and Sir Sly!",6/11/2020,2,23:04,25,20,"439, 185, 335, 436, 379, 172",https://open.spotify.com/playlist/5MJzI2mr8yPX9iOlOg999J?si=fpKZVKXqT5iWSR1_XvpRtA,318,2738,"32, 27, 31, 40, 18, 43",classic,697,,,499
"Flow ""Debut""","Get moving with this approachable, flowing playlist with a fun mix of Pop hits! Leanne's prepared a slightly longer cooldown for you, so stick around to the very end for some hamstring stretches and breathing exercises!",6/12/2020,2,18:59,25,19,"373, 342, 262, 261, 109",https://open.spotify.com/playlist/5sb4d7qQH0d7S5Oh7CuEsc?si=lLCiFKqURqaQrf932CAORg,319,2895,"17, 13, 45, 62, 2",classic,693,,,379
"Monster ""Help Me""","Leanne is here with another marathon workout! Get ready for a high tempo challenge built for advanced athletes who don't know when to quit! Start out with chest openers and quad/hip stretches, then strap in for 30+ minutes of high intensity movement! [High Intensity]",6/20/2020,3,33:24:00,25,19,"373, 101, 159, 160, 65, 240, 206, 237, 170",https://open.spotify.com/playlist/08L9V5VVf9bO8KkWHW1qTP?si=ghYWMoL5R2yCY-ZoGUcjhw,323,5721,"14, 16, 8, 43, 13, 35, 37, 5, 1",classic,1372,,,759
Incline ,"Get ready for a journey! Imagine this interval workout as rugged terrain, taking you up in intensity, back down, and then up yet again! Start out with a hard-hitting warmup with Kaleo, then set out on the trail with Nightish, Jay Golden, and Lizzo!",6/17/2020,2,16:28,28,"19, 23","439, 155, 236, 154, 138",https://open.spotify.com/playlist/4G5XbhIzDAV8QCagYNL6x6?si=jIS8EKuYRpq11W2FD9wvnw,326,1406,"47, 17, 2, 44, 18",classic,377,,,319
"Freedom Rock ""Ramblin' Man""","Join Coach Doc on a fitness road trip! This medium intensity workout starts with an easy-going warmup from Fleetwood Mac, then picks up speed with The Monkees. Keep things steady with Faces, then close it out with more classics from The Allman Brothers Band!",6/25/2020,2,21:50,28,20,"332, 326, 317, 311, 322, 310",https://open.spotify.com/playlist/2sTKrClsvKmhv0xVBjCyuc?si=P2zh1FdTTB27B51gxWuO_g,327,2622,"6, 35, 2, 8, 32, 28",classic,620,,,318
"Slow Burn ""Smile""","Settle in for another Slow Burn with Coach D! This workout is great for active recovery days, or for focusing on form and follow-through. Don't forget to stay until the end for a quick meditation to tap in and re-center!",6/14/2020,1,18:43,28,"19, 20","357, 260, 381, 420",https://open.spotify.com/playlist/0X6W9JevMqrOAXZg5uK1Jk?si=pvJrufDjSxqWAosTU4F8Cg,328,1296,"14, 37, 45, 8",classic,376,,,391
"Slow Burn ""Breathe""","Coach Doc is here for another Sunday Slow Burn! This low intensity, shorter-duration workout is followed by a meditation. Focus on giving yourself the time to align breathing and body movement so each strike, lunge, and squat are executed with purpose!",6/21/2020,1,18:38,28,20,"400, 335, 379, 378",https://open.spotify.com/playlist/6tkS0NoUiVN9HkU8uODi1J?si=QfjoraqmRyqQ_KxBKJhFkA,329,942,"32, 31, 45, 28",classic,302,,,377
"Slow Burn ""Chi""","Your Sunday Slow Burn is here! Limber up with Coach Doc to get the body moving, then jump into it! Start shattering targets with Dua Lipa, Lorde, and Nick Jonas, then bring it home with a cooldown followed by a short, three minute meditation!",6/28/2020,1,24:38:00,28,19,"374, 268, 262, 261, 352, 271",https://open.spotify.com/playlist/2TN4B2lzEwE7dvJJh0G7ic?si=r4KmbJr9RJeRzWK6OAc4tQ,330,1538,"48, 47, 31, 14, 43, 49",classic,429,,,406
Work It ,"A fun mix of dancey, low intensity tracks with a bit of an aggressive flair! This workout is perfect for getting into the body while still having the time and the space to WORK IT!",6/24/2020,1,20:53,27,21,"400, 100, 259, 62, 60, 278",https://open.spotify.com/playlist/0CAM23ak0wlCoCwiaXP22H?si=L3d-1eXDRcKiI0wuMU1ytg,334,1611,"27, 1, 40, 44, 36, 13",classic,371,,,164
"Mood Booster ""Debut""","Get ready for an energetic boost, baby! We've got a truly amazing mix of upbeat Indie Rock favorites sure to lift your spirits and get you moving with passion.",6/29/2020,2,17:56,27,20,"132, 337, 329, 379, 396",https://open.spotify.com/playlist/7CIUNaevc66j6Wde8L42ZK?si=x-ceVGoNT1awQnfCoKsQgQ,335,2732,"44, 37, 18, 8, 50",classic,762,,,717
Pep It Up ,Pep up your day with this fun interval workout! Alternate between low and medium intensity tracks to build endurance. This is perfect for athletes looking to work their way from Low to Medium intensity workouts.,6/27/2020,2,23:49,27,"19, 23","133, 191, 102, 301, 269, 347, 364",https://open.spotify.com/playlist/0AuBkzhprYh43nsAUX2S4e?si=_2NA6cbvSdyKufoXVxk7Zw,336,2461,"47, 49, 5, 27, 16, 45, 48",classic,625,,,444
Heat ,"A high-tempo cardio blast with a fun mix of Rock tracks to get you moving with agility and strength! Heat up with Violent Femmes' ""Blister In the Sun,"" then keep it going with more high intensity tracks from Royal Blood, Blur, and Jet!",6/26/2020,3,17:45,25,20,"439, 149, 339, 289, 338",https://open.spotify.com/playlist/60yFLUrhOUiBmLHl5OFZjT?si=WDtmaEzdQdCrYspwlAuLzg,338,2180,"45, 50, 24, 41, 13",classic,547,,,371
"Glutacious ""Ooh La La""","Say goodbye to your glutes, because this mix is all about those triangles! Get low, sweaty, and feel the burn with this fun mix of medium intensity favorites to get you in the mood to move. Start with some shoulder openers and squats to warm up, then dive in!",7/25/2020,2,20:52,25,"19, 22","439, 364, 64, 410, 257",https://open.spotify.com/playlist/0UOZEQNv5xyyj9wQ7YcM3B?si=RkKvLs0GShCyoFfDr9y6ag,339,2262,"55, 49, 16, 27, 29",classic,564,,,371
"Pump, You Up 90s ""Debut""","Leanne is here to pump up the jam with this medium intensity 90s throwback! Get warmed up with Stone Temple Pilots, then pull on some in-lines and your favorite denim jacket for ""Semi-Charmed Life"" by Third Eye Blind!",6/22/2020,2,17:06,25,"20, 22","362, 396, 291, 490",https://open.spotify.com/playlist/1sOqxHUMBzA6Ht42uprRk3?si=Ld1a12DJQPmErco-uuwwFA,340,1626,"34, 35, 18, 49",classic,484,,,530
